1;Jacques;Jean;04/09/1978
2;Dupont;Simon;15/04/1945
3;Vermeylen;Ivan;18/03/2004
4;Bernard;Adrien;06/02/1959
5;Razat;François;22/12/1967
6;Spacey;Kevin;28/01/1968
7;Houbner;Marc;27/05/1975
8;Mestdag;Dave;26/04/1974
9;Klapky;John;14/07/1992
10;Mifune;Alain;18/08/1998
11;Freeman;Caroline;01/04/1994
12;Depp;Matt;03/02/1987
13;Nicholson;Steve;09/01/2005
14;Brando;James;19/01/1946
15;Johansson;Matthew;12/01/1958
16;Phoenix;Henry;16/12/1964
17;Olsen;Dustin;17/11/1968
18;Pesci;Beniccio;24/08/1987
19;Wan;Bruce;26/10/1994
20;Hardi;Denzel;28/04/1991
21;Jackson;Yves;14/05/1992
22;Ventura;Robert;12/06/1989
23;Penn;Maurice;11/07/1988
24;Jonas;Élisabeth;10/09/1987
25;Oldman;Matts;16/10/1957
26;Bale;Christophe;07/11/1963
27;Hopkins;Jeanne;02/02/1974
28;Holden;Ralph;01/04/1978
29;Lewis;River;06/05/1975
30;Hackman;Eliott;04/05/1988
31;Roux;Armand;03/04/1965
32;Leroy;Arnaud;25/01/2004
33;Simon;Christian;14/12/2002
34;Lambert;Joseph;13/11/2000
35;Bonnet;Alexandre;16/01/1985
36;Girard;Jérôme;28/10/1987
37;Perrin;Jules;09/09/1978
38;Morin;Léo;28/04/1975
39;Leclerc;Dan;29/07/1999
40;Spencer;Serge;24/12/1998
41;Perrot;Théodore;18/11/1994
42;Bonnet;Yoann;02/08/1991
43;Michaud;Donald;01/07/2002
44;Rodriguez;Marie;06/06/1952
45;Carlier;Sophie;07/06/1964
46;Humbert;Virginie;21/12/1975
47;Vasquau;Octave;20/05/1935
48;Durand;Martin;17/01/2003
49;Lefebvre;Lucie;02/02/1996
50;Hackman;Coralie;15/01/1985
